Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
5.414930291666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414932583333334, 1, 0, 0, 1, 1, 1, 1, 1
5.414935416666667, 1, 0, 1, 1, 1, 1, 1, 1
5.414940291666667, 1, 0, 0, 1, 1, 1, 1, 1
5.414945041666667, 1, 1, 0, 1, 1, 1, 1, 1
5.414949625000000, 1, 1, 1, 1, 1, 1, 1, 1
5.414955458333334, 1, 0, 1, 1, 1, 1, 1, 1
5.414960500000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414965208333333, 1, 1, 0, 1, 1, 1, 1, 1
5.414971041666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414975958333334, 1, 1, 0, 1, 1, 1, 1, 1
5.414976250000000, 1, 0, 0, 1, 1, 1, 1, 1
5.414981125000001, 1, 0, 1, 1, 1, 1, 1, 1
5.414985958333333, 1, 0, 0, 1, 1, 1, 1, 1
5.414986375000001, 1, 1, 0, 1, 1, 1, 1, 1
5.414991041666667, 1, 1, 1, 1, 1, 1, 1, 1
5.414995958333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415001041666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415005958333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415006291666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415011125000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415015958333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415016375000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415021083333333, 1, 1, 1, 1, 1, 1, 1, 1
5.415026000000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415026291666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415031125000001, 1, 0, 1, 1, 1, 1, 1, 1
5.415036000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415036416666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415041083333334, 1, 1, 1, 1, 1, 1, 1, 1
5.415046000000000, 1, 1, 0, 1, 1, 1, 1, 1
5.415048625000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415051125000001, 1, 0, 1, 1, 1, 1, 1, 1
5.415056000000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415065250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415070125000001, 1, 0, 0, 1, 1, 1, 1, 1
5.415075250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415080125000000, 1, 0, 0, 1, 1, 1, 1, 1
5.415085250000001, 1, 0, 1, 1, 1, 1, 1, 1
5.415090166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415095250000000, 1, 0, 1, 1, 1, 1, 1, 1
5.415100166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415105291666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415110166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415111916666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415115250000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415120166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415125250000000, 1, 1, 1, 1, 1, 1, 1, 1
5.415130166666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415131583333333, 1, 0, 0, 1, 1, 1, 1, 1
5.415135291666667, 1, 0, 1, 1, 1, 1, 1, 1
5.415140166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415145333333333, 1, 0, 1, 1, 1, 1, 1, 1
5.415150166666667, 1, 0, 0, 1, 1, 1, 1, 1
5.415150583333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415152958333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415160583333334, 1, 0, 1, 1, 1, 1, 1, 1
5.415165458333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415170583333333, 1, 0, 1, 1, 1, 1, 1, 1
5.415175458333334, 1, 0, 0, 1, 1, 1, 1, 1
5.415177041666667, 1, 1, 0, 1, 1, 1, 1, 1
5.415180541666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415185458333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415190541666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415195458333334, 1, 1, 0, 1, 1, 1, 1, 1
5.415200541666667, 1, 1, 1, 1, 1, 1, 1, 1
5.415205458333333, 1, 1, 0, 1, 1, 1, 1, 1
5.415206916666667, 1, 0, 0, 1, 1, 1, 1, 1
